Name,Score,Rank,Type,Episodes,Premiered,Producers,Studios,Genres,Popularity,Members,Favorites,From,To
Rec: Yurusarezarumono,7.11,3493,Special,1,,"['add some', 'None found, ']",['Shaft'],"['Drama', 'Comedy', 'Romance']",4067,23664,4,2006-06-30,2006-06-30
Red Baron,7.11,3494,TV,49,Spring,['TV Asahi'],['Tokyo Movie Shinsha'],"['Sci-Fi', 'Sports', 'Action']",8528,3741,11,1994-04-05,1995-03-28
Saiki Kusuo no Ψ-nan (ONA),7.11,3495,ONA,1,,['Opera House'],['J.C.Staff'],"['Supernatural', 'Comedy']",3194,38637,112,2013-08-04,2013-08-04
Soukou Kihei Votoms: The Last Red Shoulder,7.11,3496,OVA,1,,"['add some', 'None found, ']",['Sunrise'],"['Drama', 'Sci-Fi', 'Action']",8425,3898,3,1985-08-21,1985-08-21
Tenchi Muyou! Manatsu no Eve,7.11,3497,Movie,1,,"['Nippon Cultural Broadcasting', 'Genco', 'Pioneer LDC', 'Geneon Universal Entertainment']",['AIC'],"['Sci-Fi', 'Comedy', 'Action']",4928,15048,14,1997-08-02,1997-08-02
Tengen Toppa Gurren Lagann: Kirameki★Yoko Box - Pieces of Sweet Stars,7.11,3498,Music,1,,"['add some', 'None found, ']",['Gainax'],['Ecchi'],3650,29769,32,2009-05-27,2009-05-27
Tenjoubito to Akutobito Saigo no Tatakai,7.11,3499,Movie,1,,"['add some', 'None found, ']",['Kyoto Animation'],"['Fantasy', 'Supernatural', 'Action']",6391,7906,9,2009-04-18,2009-04-18
Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,7.11,3500,Movie,1,,"['add some', 'None found, ']",['8bit'],"['Adventure', 'Fantasy', 'Comedy', 'Action']",1753,107297,887,2022-11-25,2022-11-25
Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,7.11,3501,OVA,1,,"['add some', 'None found, ']","[""Brain's Base""]","['Comedy', 'Romance']",1831,100016,58,2013-08-12,2013-08-12
Toriko Movie: Bishokushin no Special Menu,7.11,3502,Movie,1,,"['Bandai', 'Happinet Pictures', 'Bandai Namco Games', 'Shueisha', 'Yomiko Advertising', 'Nippon Columbia', 'Toei Video']",['Toei Animation'],"['Adventure', 'Fantasy', 'Comedy', 'Action']",6871,6629,4,2013-07-27,2013-07-27
Tsurikichi Sanpei,7.11,3503,TV,109,Spring,['Studio Jack'],['Nippon Animation'],"['Adventure', 'Sports']",7895,4678,20,1980-04-07,1982-06-28
